"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22408",2020,5,"2020_5",1593,"3873035005",2034,600,"card",11618.6,"Howell (O&R)","not in list","0",0,0
"22409",2020,5,"2020_5",1593,"3873035005",2034,600,"ach",11618.6,"Howell (O&R)","not in list","0",0,0
"22410",2020,5,"2020_5",1593,"3873035005",2034,600,"ach",11618.6,"Howell (O&R)","not in list","0",0,0
"22411",2020,5,"2020_5",820,"6687265010",789,200,"card",7215.35,"Howell (O&R)",">=$50,000","0",0,0
"22412",2020,5,"2020_5",820,"6687265010",789,200,"card",7215.35,"Howell (O&R)",">=$50,000","0",0,0
"22413",2020,5,"2020_5",710,"5976402011",668,119,"card",4921.24,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22414",2020,5,"2020_5",816,"2843127017",786,198,"card",14208.7,"Howell (O&R)",">=$50,000","0",0,0
"22415",2020,5,"2020_5",816,"2843127017",786,198,"card",14208.7,"Howell (O&R)",">=$50,000","0",0,0
"22416",2020,5,"2020_5",828,"2882062000",808,207,"card",3256.16,"Howell (O&R)",">=$50,000","0",0,0
"22417",2020,5,"2020_5",19,"7989248005",19,2,"card",6845.33,"Howell (O&R)","not in list","No Longer Interested",0,1
"22418",2020,5,"2020_5",54,"3697878017",62,16,"ach",9620.47,"Howell (O&R)",">=$50,000","Got Rooftop",0,1
"22419",2020,5,"2020_5",1545,"7838050013",1689,596,"ach",31525.5,"Howell (O&R)","not in list","0",0,0
"22420",2020,5,"2020_5",732,"3709437019",691,135,"card",5217.25,"Howell (O&R)",">=$50,000","0",0,0
"22421",2020,5,"2020_5",1531,"2504068019",1689,596,"ach",6623.32,"Howell (O&R)","not in list","0",0,0
"22422",2020,5,"2020_5",1038,"9601015006",1052,347,"card",9657.47,"Howell (O&R)",">=$50,000","0",0,0
"22423",2020,5,"2020_5",1038,"9601015006",1052,347,"card",9657.47,"Howell (O&R)",">=$50,000","0",0,0
